"id","inep","nome","endereco","bairrodistrito","gestor","telefone_extraido","dados","localidade_id"
65,"29024986","PROFª MARIA FRANCA PIRES","RUA ALLAN KARINE","João XXIII","Não informado",NULL,NULL,"1"
66,"29362504","PROFª MARIA JOSÉ LIMA DA ROCHA","QUADRA QUADRA  9","João Paulo II","Não informado",NULL,NULL,"1"
67,"29025770","PROFª MATILDE COSTA MEDRADO","CARNAIBA DE DENTRO","Carnaíba de Dentro","Não informado",NULL,NULL,"2"
68,"29025397","PROFª TEREZINHA FERREIRA DE OLIVEIRA","RUA PARAISO","Tabuleiro","Não informado",NULL,NULL,"1"
69,"29415160","PROFº CARLOS DA COSTA SILVA","RUA ALMIRANTE TAMANDARE","Country Club","Não informado",NULL,NULL,"1"
70,"29405106","PROFº JOSÉ PEREIRA DA SILVA","AVENIDA AVENIDA SAO FRANCISCO","Itaberaba","Não informado",NULL,NULL,"1"
71,"29024714","PROFº LUIS CURSINO DA FRANÇA CARDOSO","CAMINHO CAMINHO 12","Tancredo Neves","Não informado",NULL,NULL,"1"
72,"29025478","PROFº PEDRO RAIMUNDO RODRIGUES REGO","PRACA ANTONIO TANURI","Piranga","Não informado",NULL,NULL,"1"
73,"29025524","PROMENOR","Av. Machado de Assis","Alto do Cruzeiro","Não informado",NULL,NULL,"1"
74,"29027055","RAIMUNDO CLEMENTINO DE SOUZA","RUA DA RODOVIA","Sede do Distrito (Pinhões)","Não informado",NULL,NULL,"2"
75,"29424445","RAIMUNDO MEDRADO PRIMO","AV SEBASTIAO A. BRANCO","Pedra do Lord","Não informado",NULL,NULL,"1"
76,"29026288","SANTA INÊS","VILA SANTA INES","Vila Santa Inês","Não informado",NULL,NULL,"2"
77,"29026300","SANTA TEREZINHA","POVOADO DE JAZIDA","Povoado de Jazida","Não informado",NULL,NULL,"2"
78,"29025010","SANTO ANTÔNIO","PROJETO CURACA NH03","Projeto Curaçá - NH3","Não informado",NULL,NULL,"2"
79,"29025982","SÃO FRANCISCO DE ASSIS - NH2","PROJETO CURACA","Projeto Curaçá - NH2","Não informado",NULL,NULL,"2"
80,"29026377","SÃO JOSÉ","Fazenda Mato Grosso","Sede do Distrito (Maniçoba)","Não informado",NULL,NULL,"2"
