id;inep;escola;endereco;bairro;distrito;gestor;telefone_extraido;localidade_id
70;29405106;PROFº JOSÉ PEREIRA DA SILVA;AVENIDA AVENIDA SAO FRANCISCO;Itaberaba;Juazeiro;;;1
71;29024714;PROFº LUIS CURSINO DA FRANÇA CARDOSO;CAMINHO CAMINHO 12;Tancredo Neves;Juazeiro;;;1
72;29025478;PROFº PEDRO RAIMUNDO RODRIGUES REGO;PRACA ANTONIO TANURI;Piranga;Juazeiro;;;1
73;29025524;PROMENOR;Av. Machado de Assis;Alto do Cruzeiro;Juazeiro;;;1
74;29027055;RAIMUNDO CLEMENTINO DE SOUZA;RUA DA RODOVIA;Sede do Distrito (Pinhões);Pinhões;;;2
75;29424445;RAIMUNDO MEDRADO PRIMO;AV SEBASTIAO A. BRANCO;Pedra do Lord;Juazeiro;;;1
76;29026288;SANTA INÊS;VILA SANTA INES;Vila Santa Inês;Maniçoba;;;2
77;29026300;SANTA TEREZINHA;POVOADO DE JAZIDA;Povoado de Jazida;Maniçoba;;;2
78;29025010;SANTO ANTÔNIO;PROJETO CURACA NH03;Projeto Curaçá - NH3;Itamotinga;;;2
79;29025982;SÃO FRANCISCO DE ASSIS - NH2;PROJETO CURACA;Projeto Curaçá - NH2;Itamotinga;;;2
80;29026377;SÃO JOSÉ;Fazenda Mato Grosso;Sede do Distrito (Maniçoba);Maniçoba;;;2
